Item Name,Category,Price,Quantity,Customer,Gender
item_1,groceries,484.94,1,john,Male
item_2,home,388.69,1,john,Male
item_3,electronics,470.05,19,jane,Male
item_4,groceries,447.94,2,jane,Male
item_5,groceries,300.96,12,charlie,Male
item_6,home,461.33,6,charlie,Female
item_7,electronics,48.8,4,bob,Male
item_8,electronics,102.01,11,jane,Female
item_9,groceries,27.39,17,john,Female
item_10,clothing,166.04,6,charlie,Male
item_11,groceries,197.4,5,charlie,Female
item_12,groceries,139.32,2,john,Male
item_13,groceries,415.23,6,charlie,Female
item_14,groceries,181.59,11,bob,Male
item_15,home,144.06,16,jane,Male
item_16,electronics,273.63,16,john,Female
item_17,home,74.76,1,jane,Female
item_18,home,402.09,9,charlie,Male
item_19,home,41.9,6,charlie,Male
item_20,groceries,493.51,16,john,Female
item_21,clothing,387.26,3,bob,Female
item_22,electronics,103.36,4,alice,Female
item_23,clothing,7.73,19,john,Female
item_24,home,408.65,3,alice,Male
item_25,home,354.89,19,alice,Female
item_26,clothing,365.86,7,bob,Male
item_27,clothing,386.78,9,alice,Male
item_28,clothing,41.65,1,alice,Male
item_29,home,182.44,8,bob,Female
item_30,home,62.36,7,alice,Male
item_31,electronics,432.24,18,alice,Female
item_32,electronics,313.53,8,alice,Female
item_33,home,168.79,1,john,Male
item_34,clothing,36.46,11,john,Male
item_35,clothing,158.94,18,john,Male
item_36,electronics,165.97,10,bob,Female
item_37,home,366.16,3,charlie,Male
item_38,electronics,320.59,7,alice,Female
item_39,electronics,444.17,16,alice,Male
item_40,groceries,238.75,16,bob,Female
item_41,groceries,64.2,17,alice,Male
item_42,groceries,358.06,2,john,Male
item_43,clothing,381.59,1,charlie,Female
item_44,home,282.83,16,jane,Male
item_45,home,386.63,12,alice,Male
item_46,home,249.43,5,john,Male
item_47,home,263.75,5,jane,Male
item_48,groceries,216.63,9,charlie,Female
item_49,clothing,17.58,9,jane,Male
item_50,clothing,58.41,3,john,Male
item_51,groceries,20.56,19,jane,Female
item_52,clothing,320.02,16,bob,Female
item_53,groceries,160.61,16,jane,Female
item_54,home,256.74,3,alice,Female
item_55,groceries,454.25,1,alice,Male
item_56,home,128.4,11,bob,Female
item_57,home,208.14,17,john,Female
item_58,electronics,379.0,8,alice,Male
item_59,groceries,118.26,4,charlie,Male
item_60,electronics,43.11,6,alice,Male
item_61,groceries,148.43,8,alice,Female
item_62,groceries,84.8,3,john,Female
item_63,electronics,465.2,16,jane,Male
item_64,electronics,405.02,3,alice,Female
item_65,groceries,318.53,18,bob,Female
item_66,clothing,436.37,14,jane,Male
item_67,home,402.82,18,charlie,Male
item_68,electronics,97.35,2,john,Male
item_69,home,446.82,3,charlie,Female
item_70,clothing,271.97,16,jane,Female
item_71,clothing,404.68,9,jane,Male
item_72,clothing,448.57,4,jane,Male
item_73,electronics,162.41,1,charlie,Female
item_74,clothing,59.48,4,jane,Female
item_75,electronics,117.83,1,charlie,Male
item_76,clothing,216.42,14,jane,Male
item_77,home,409.92,16,bob,Female
item_78,home,431.06,8,jane,Male
item_79,groceries,8.44,7,charlie,Female
item_80,home,257.82,3,alice,Male
item_81,groceries,211.62,17,jane,Male
item_82,home,114.94,1,alice,Male
item_83,electronics,64.33,16,bob,Male
item_84,home,172.12,12,john,Male
item_85,groceries,471.74,19,bob,Male
item_86,groceries,164.99,14,jane,Female
item_87,clothing,261.8,6,alice,Male
item_88,electronics,352.99,6,alice,Female
item_89,home,185.0,13,charlie,Male
item_90,clothing,486.03,19,alice,Female
item_91,home,481.41,8,charlie,Male
item_92,home,129.63,2,john,Male
item_93,clothing,251.14,1,jane,Male
item_94,clothing,153.93,15,charlie,Male
item_95,clothing,146.0,1,john,Female
item_96,clothing,23.26,5,alice,Male
item_97,clothing,306.73,16,alice,Female
item_98,home,253.83,19,john,Male
item_99,clothing,30.48,4,alice,Male
item_100,electronics,142.93,3,john,Male
